rank	corpus_freq	phonetic_gmr	wylie	hgm_gloss
810	126	neluk	gnas lugs	reality; nature of things; state of reality; true nature; real nature of things; nature; way things really are; way thin
811	126	nakpo	nag po	evil; black; dark
812	126	pama	pha ma	father or mother; parents; father and mother; generations; a father or a mother; man or woman
813	125	barche	bar chad	interrupted; no more; obstacles
814	125	damcha	dam bca'	resolution; assertion; position; idea
815	125	sulwa tab	gsol ba btab	asking
816	125	norbu	nor bu	gem; jewels
817	125	penpa	phan pa	help; assistance; to be of benefit; assisting; good; aid; benefit; attitude of wanting to help; helping; being of help
818	125	tamche kyenpa	thams cad mkhyen pa	all-knowing; state of omniscience; omniscient one; omniscience; state of all-knowing
819	125	sakme	zag med	the unstained; pure; stainless; unstained; stainless things; without stain; free of stain; unstained phenomena; untainte
820	124	legya	las rgya	partner of the rite
821	124	marikpa	ma rig pa	ignorance
822	124	melong	me long	mirror
823	124	sawa	za ba	devour; eating; give ... bite; bite
824	123	nampar dak	rnam par dag	purity
825	122	trung	'khrungs	into a person
826	122	damchu	dam chos	the Dharma; the precious Dharma (dam chos rin po che)
827	122	gang gi chir	gang gi phyir	may ask; for the reason; because of; because; for this very reason; for the reason that; reason is that
828	122	ngowo tade	ngo bo tha dad	subsumes the other
829	122	smrepa	smras pa	expressed; say; said; i will tell you; and we answer with the following:; presenting; spoke; spoken
830	121	pakme	dpag med	without measure; measureless; "inestimable"
831	121	sukme	gzugs med	formless; no form; formless realm; formless realms
832	121	chok-su	phyogs su	along the flow; towards
833	121	rewa	re ba	hopes; hope; emotion of hope; hoping; s of hoping that
834	121	gyelse	rgyal sras	sons; sons and daughters of the victorious buddhas; their sons; children of the victors; victors' son; jinaputra; bodhis
835	121	gyun du	rgyun du	continual period
836	121	ngamay	snga ma'i	last; past
837	120	denme	bden med	have no true existence; lack any true existence; void of any true existence; none ... has any true existence; had no tru
838	120	kadrin	bka' drin	kindness
839	120	chechung	che chung	more serious, and those which are less; large and small; relative
840	120	puntsok	phun tshogs	the good things
841	120	rabrib	rab rib	cataract; cataracts
842	120	tusam	thos bsam	learning and contemplation; the processes of learning and contemplation; study and meditation; study and contemplation
843	119	dramse	bram ze	brahmin; brahmin caste; brahmins
844	119	lungten	lung bstan	neutral ethically; foretold; specified
845	119	mashe	ma shes	failed to understand; not perceived
846	119	mangwa	mang ba	plentiful; greater; more; everywhere; lots; many
847	119	pasang	pa sangs	practice should have
848	119	chulam	spyod lam	wherever she goes; live this way of life; acting in ways; does
849	119	tsulshin du	tshul bzhin du	in the proper way; properly; accurate way
850	118	trin le	'phrin las	mighty
851	118	bar gyi	bar gyi	down to; up to; and continue up to; from this
852	118	dunpa	bdun pa	seventh; seven
853	118	jinggu	bying rgod	dullness
854	118	da ni	da ni	right now; now
855	118	detse	de tshe	and then; then
856	118	getsa	dge rtsa	stores of virtue; core of virtues; collected virtue; virtues we have collected; basic virtue; most basic virtues; most b
857	118	mingelwa	mi 'gal ba	not contradict; no contradiction; is no inconsistency; not inconsistent; no inconsistency
858	118	shepar ja	shes par bya	learn; proceed; should consult; understand; should keep in mind; idea; understood; reasoning; distinction
859	118	tongtrak	stong phrag	thousand
860	118	sumchu	sum cu	thirty
861	118	tsendir	tshe 'dir	here in this life
862	117	paktu mepa	dpag tu med pa	infinity; infinite number; immeasurable; beyond all; infinite; "inestimable"
863	117	jitar ja	ji ltar bya	what they did
864	117	kyappa ke	khyab pa khas	doesn't necessarily follow but
865	117	ma kyepa	ma skyes pa	yet to begin; never grow; nothing grows; lack of any growing; no ... ever began; what has not grown; wasn't ever develop
866	117	rangtsen	rang mtshan	definition; examples of things; definitive; things that exist by definition; exists in its own essence
867	117	namtar	rnam thar	beautiful altar with representations
868	117	nuchu	snod bcud	places and the people
869	116	chuku	chos sku	the dharma body
870	116	gawar	dga' bar	commit this when
871	116	lenjung	las 'byung	comes from
872	116	nyampa	nyams pa	degenerated; failure; avoid; decline; you stop; failed; fallen to their current state; inferior; fall; lower; damage; br
873	116	nyishu	nyi shu	twenty; twenty-two
874	115	dangndrawar	dang 'dra bar	the same as
875	115	tummo	gtum mo	inner fire
876	115	rangluk	rang lugs	our own system; our own position; present school
877	115	tennjung	rten 'byung	dependence
878	115	tsawar du na	rtsa bar 'dod na	suppose you agree
879	115	shukdrak	shugs drag	fierce; intensity; deep-felt
880	115	pangpa	spangs pa	causing a person to give up; giving up; cessation; rid; eliminated; eliminates; eliminate; eliminating; avoid; are free 
881	115	teng ne	steng nas	three principal paths
882	115	telwa	thal ba	powder; have to be; would have to be; would be; implying
883	114	deppa	'debs pa	conditions
884	114	powa	'pho ba	migrates
885	114	shipo	bzhi po	one may ask
886	114	chikchar	cig car	come together; in a single stroke; in a single rush; simultaneous; simultaneously; one step; at the same time
887	114	dadung	da dung	and yet; still more; we continue the way we are; still; nonetheless; again; yet still
888	114	drakpo	drag po	intensity; very forceful; strong; fierce
889	114	tongwa	gtong ba	lose; giving up; charity; give away; generosity; gives away
890	114	malupa	ma lus pa	every single one; in their entirety; totality; all; every
891	114	gyacher	rgya cher	to an overwhelming degree; further; more broadly
892	114	sempa chenpo	sems dpa' chen po	great bodhisattvas
893	114	tarndu	thar 'dod	freedom
894	114	timpa	thim pa	diamond body diamond speech
895	113	dir ni	'dir ni	here
896	113	chenmo	chen mo	great; great book
897	113	kedrup	mkhas grub	kedrup; kedrup je
898	113	nesung	nas bzung	begins
899	113	kusung tuk	sku gsung thugs	action of my body, or my speech, or my thoughts
900	113	tsam le	tsam las	each
901	112	dzintang	'dzin stangs	holds its object in a way which is; holds its object
902	112	dundampa	don dam pa	ultimate; the ultimate; exists ultimately; ultimate truth; ultimate kind; ultimate way; something ultimate; ultimate typ
903	112	duwa	du ba	smoke
904	112	kundzob tu	kun rdzob tu	deceptively; in a deceptive way; as a kind of deceptive reality
905	112	mutek	mu stegs	non-buddhist; non-buddhists
906	112	ngun gyi	sngon gyi	of the past
907	112	yin yang	yin yang	but; yet; even though; despite; even that; even if
908	111	barnang	bar snang	sky; space
909	111	gompa	goms pa	meditated; well trained; habit; accustomed; habituating; practice; meditating; meditate; practiced; gradual practice; pr
910	111	naktrak	rnag khrag	pus and blood; blood and pus
911	111	she-shin	shes bzhin	stay watchful; intentional; vigilance
912	111	tserap	tshe rabs	your previous lives; your past lives; lives; lifetimes; previous lives; past lives
913	111	sepa	zad pa	run out; wears out; has come to its end; end; finished off; finish off; eliminate; nothing more; finishing off; restrict
914	110	di yang	'di yang	either
915	110	kor du	'khor du	attendant; comes along with
916	110	tappa	btab pa	made; planting; given; has used; used; represent; has ... used; triggered
917	110	jin gyi lop	byin gyis rlobs	bless me; grant
918	110	dering	de ring	today
919	110	tarnang	ltar snang	false; appear
920	110	telngyur	thal 'gyur	would have to; statement of necessity; implication; logical statements
921	109	duyun	'dod yon	objects of the senses
922	109	sungwar	gzung bar	subhuti
923	109	mitok	mi rtog	person's intentions have degenerated
924	109	jinsek	sbyin sreg	offering of fire
925	108	gangrung ma	gang rung ma	neither ... nor
926	108	gowa	go ba	understanding; meaning; grasping; descriptions; understands; we can understand; grasp; understood; understand
927	108	gongma	gong ma	higher; above; high; upper; great; upper realms; higher realms
928	108	len du	lan du	response; in response; answer to; here is how we explain
929	108	mepa nyi	med pa nyid	lack; quality of lacking; thing which cannot exist; lacks; lacking; no; simple lack; without
930	108	mindro	mi 'gro	fail to attend; is nothing more
931	108	chokchik	phyogs gcig	single work
932	108	rirab	ri rab	mount supreme; ultimate mountain--mount supreme; mountain at the center of the world; central mountain of the world; cen
933	108	rung mayin	rung ma yin	reasons which are neither
934	108	sangye nam	sangs rgyas rnams	buddha
935	108	denu	sde snod	scriptural collection; all the books in the scriptural collection; scriptures; scriptural collections; literature; colle
936	108	semwen	sems dben	transcendent mind
937	108	kelsang	skal bzang	fortunate
938	108	sotar	so thar	freedom vows; the freedom vows; freedom; vows of freedom; individual freedom; morality of freedom; the vows of freedom
939	107	dangsum	dang gsum	has three parts
940	107	chikpu	gcig pu	single greatest; by myself; the single; one and only; one; alone; single; just; only
941	107	tar gyi	ltar gyi	of the kind
942	107	milen	mi len	can't share
943	107	gyuwa	rgyu ba	roam about
944	107	dikdrip	sdig sgrib	all the bad deeds
945	106	bepa	'bad pa	make serious efforts; make great efforts; efforts; strive
946	106	okma	'og ma	lower; preceding and lower level; latter
947	106	dey tse na	de'i tshe na	in this situation; in the same situation; suppose; when; in this same situation; according to your view; again consider 
948	106	geway le	dge ba'i las	good; virtuous deeds; virtuous deed; virtuous types of deeds
949	106	ngume	dngos med	devoid of being a thing; thing which doesn't function; something that was not a functioning thing; not functioning; thin
950	106	dunnyer	don gnyer	striving for; achieving; striving; aimed at getting; focussing; hope for; seek; aspiring to; he is aspiring to fulfill; 
951	106	ngunsum du tok	mngon sum du rtogs	perceived directly; to be realized directly
952	106	su yang	su yang	one; none
953	106	yirang	yi rang	verse with the words
954	106	yupa min	yod pa min	could never be
955	105	charwa	'char ba	shows; form; appear; can appear; picture; appearance; appearing; have appeared
956	105	nyinang	gnyis snang	duality; perceives a disparity
957	105	nyi-su me	gnyis su med	difficult
958	105	yishin	yid bzhin	wish
959	104	jikpa	'jig pa	destruction; dies; being destroyed
960	104	chungngu	chung ngu	lesser; least; a person of lesser scope; minor
961	104	rikje	rig byed	perceiver; thing perceiving; books of knowledge; communicate one's intentions; communicating
962	104	semkyepa	sems bskyed pa	raising the wish; raise the wish for enlightenment within one's mind; raising the wish for enlightenment within one's mi
963	104	tsemar	tshad mar	authoritative; validity
964	104	yinnam	yin nam	is it; whether
965	103	chungse kyang	cung zad kyang	at all; slightest bit; even the slightest bit; slightest; tiniest bit; in the slightest; some
966	103	drongkyer	grong khyer	cities; city
967	103	kyab te	khyab ste	but it does necessarily follow; the one always implies the other; this is always the case; true in every case
968	103	ngachi	snga phyi	past or future; mentioned throughout; the present and the preceding; specific; past and future; progression; temporal pr
969	103	sok chu	srog gcod	taking life; undertaking to kill; killing
970	102	chuchik	bcu gcig	eleven
971	102	chu kyi dakme	chos kyi bdag med	things have no self-nature; lack of a self-nature to things; lack of any self-nature to things; lack of a self-nature of
972	102	deta na	de lta na	this all supports the quotation that says, "; if this were the case; if this were true; if this held true; if this were 
973	102	ngushi	dngos gzhi	the main stage; main stage; actual commission of the deed; commission of the deed on; actual; actual commission; actual-
974	102	sar du	gsar du	fresh; fresh?; freshly
975	102	hachang	ha cang	avoid
976	102	hlaktong	lhag mthong	special vision; special insight; special realization
977	102	manye	ma rnyed	failed to find
978	102	reshik	re zhig	for the time being; in the short run; at this particular point at least; in the meantime
979	101	jinpa	byin pa	giving; offerings that have been made; presents; give; offering; making offerings; provided; calf; gave; presented; char
980	101	tokpa	gtogs pa	categorized; grouped with; which are considered; included; as well as; represents; taken
981	101	lam gyi	lam gyis	has spoken
982	101	namkar	nam mkhar	empty space; in the sky
983	101	rangshin gyi tong	rang bzhin gyis stong	empty of any natural
984	101	rang gi lu	rang gi lus	one's father or mother
985	101	tingndzin	ting 'dzin	pointed concentration
986	100	drukchu	drug cu	sixtieth; sixty
987	100	gangchir	gang phyir	because; for the reason that; for the reason; why?; since
988	100	drulwa	grol ba	liberate yourself; liberate; beings that are free; liberation; liberated; freed; liberating; transcendent; freedom; free
989	100	kunkyen	kun mkhyen	omniscient; omniscience; omniscient being; state of omniscience
990	100	mide	mi bde	unpleasant
991	100	minyen	mi snyan	terrible
992	100	chiwo	spyi bo	headborn
993	100	sunnjin	sun 'byin	disproving; disprove; attacks
994	99	lejungwa	las byung ba	occur from; from; happen by; occurrences; occur through; produces; gives; occur; came from
995	99	nam yang	nam yang	never
996	99	trawa	phra ba	lesser forms; subtle
997	99	gyagar	rgya gar	india; indian
998	99	tunmongwa	thun mong ba	common; which is shared; shared; the ones that are shared; way for common; "shared,"; way which is shared
999	98	dey dun	de'i don	nonetheless
1000	98	dunshen	don gzhan	substantially different; some other light; further; different
